品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
牛肉の和風甘辛煮,https://delicious-canned.com/item/004.html,株式会社明治屋,畜肉缶詰,約3年,75g,牛肉、しょうゆ(大豆、小麦を含む)、砂糖、こんぶエキス、寒天,None
桜肉ユッケ風,https://delicious-canned.com/item/061.html,株式会社明治屋,畜肉缶詰,約3年,90g,馬肉、しょうゆ(大豆・小麦を含む)、砂糖、チキンスープ、清酒、にんにく、食用ごま油、甜麺醤(大豆・ごまを含む)、食塩、発酵調味料、しょうが、酵母エキス、香辛料/増粘多糖類、調味料(アミノ酸)、加工でん粉、酸化防止剤(ビタミンC)、カラメル色素、発色剤(亜硝酸Na),None
豚肉の黒酢角煮（うずら卵入り）,https://delicious-canned.com/item/062.html,株式会社明治屋,畜肉缶詰,約3年,75g,豚肉味付(豚肉、粉末水あめ、その他)(国内製造)、うずら卵(国産)加工黒糖、しょうゆ(大豆・小麦を含む)、黒酢、発酵調味料、還元水あめ、レモン果汁、香辛料、しょうが、にんにく、増粘剤(加工でん粉、キサンタンガム)、pH調整剤、調味料(アミノ酸等)、加工でん粉、香料,None
燻製粗挽きソーセージ,https://delicious-canned.com/item/006.html,株式会社明治屋,畜肉缶詰,約3年,60g,豚肉、結着材料(でん粉、大豆たん白)、コーン油、豚脂肪、食塩、香辛料、砂糖、ピロリン酸Na、調味料(アミノ酸)、酸化防止剤(ビタミンC)、発色剤(亜硝酸Na)、(原材料の一部に小麦を含む),None
燻製粗挽きチョリソー,https://delicious-canned.com/item/007.html,株式会社明治屋,畜肉缶詰,約3年,60g,豚肉、コーン油、豚脂肪、結着材料(でん粉、大豆たん白)、香辛料、食塩、砂糖、チキンエキス、調味料(アミノ酸等)、ピロリン酸Na、パプリカ色素、酸化防止剤(ビタミンC)、発色剤(亜硝酸Na)、(原材料の一部に乳成分、小麦、ゼラチンを含む),None
国産鶏のオリーブ油漬（洋風アヒージョ）,https://delicious-canned.com/item/010.html,株式会社明治屋,畜肉缶詰,約3年,65g,鶏肉、オリーブ油、食塩、にんにく、砂糖、香辛料、調味料(アミノ酸)、ポリリン酸Na、酸化防止剤(ビタミンC)、発色剤(亜硝酸Na),None
国産鶏のごま油漬（和風アヒージョ）,https://delicious-canned.com/item/011.html,株式会社明治屋,畜肉缶詰,約3年,65g,鶏肉、ごま油、食塩、にんにく、砂糖、香辛料、調味料(アミノ酸)、ポリリン酸Na、酸化防止剤(ビタミンC)、発色剤(亜硝酸Na),None
サラダチキンプレーン,https://www.hko.co.jp/products/canning/detail/id=568,株式会社宝幸,畜肉缶詰,約3年,70g,鶏肉、ひまわり油、食塩／増粘剤（加工デンプン）、ポリリン酸Na、（一部に鶏肉を含む）,None
やきとり たれ味,https://www.hko.co.jp/products/canning/detail/id=121,株式会社宝幸,畜肉缶詰,約3年,80g,鶏肉、鶏皮、砂糖、しょうゆ、みりん／増粘剤（加工デンプン、キサンタン）、調味料（アミノ酸等）、（一部に小麦・大豆・鶏肉を含む）,None
やきとり 塩味,https://www.hko.co.jp/products/canning/detail/id=120,株式会社宝幸,畜肉缶詰,約3年,70g,鶏肉、鶏皮、しょうゆ、食塩、砂糖／増粘剤（加工デンプン、キサンタン）、調味料（アミノ酸等）、（一部に小麦・大豆・鶏肉を含む）,None
おつまみ小鉢 豚ホルモン辛味噌煮込み（豚がつ使用）,https://www.hko.co.jp/products/canning/detail/id=887,株式会社宝幸,畜肉缶詰,約3年,55g,ボイル豚胃（国内製造）、味噌、砂糖、にんにく、すりごま、ポークエキス調味料、豆板醤、唐辛子、酵母エキス／調味料（アミノ酸等）、増粘剤（加工デンプン）、（一部にごま・大豆・豚肉を含む）,None
