品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
やきとり たれ味 75g,https://www.hoteifoods.co.jp/products/c01/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、砂糖、醤油（大豆・小麦を含む）、発酵調味料、りんご濃縮果汁、食塩、ロースト醤油ペースト／増粘剤（加工デンプン、増粘多糖類）、加工デンプン、調味料（アミノ酸）、カラメル色素、香料,小麦、大豆、鶏肉、りんご
やきとり 塩味 GP4号,https://www.hoteifoods.co.jp/products/c-03/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、香料、増粘多糖類、甘味料（キシロース）、カラメル色素、酸味料,卵、乳、小麦、大豆、鶏肉
やきとり たれ味 G7号,https://www.hoteifoods.co.jp/products/c-09/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,260g,鶏肉、醤油（大豆・小麦を含む）、砂糖、香辛料／増粘多糖類、調味料（アミノ酸）、カラメル色素,小麦、大豆、鶏肉
やきとり たれ味 90g,https://www.hoteifoods.co.jp/products/c-06/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,90g,鶏肉（国産）、砂糖、しょうゆ（小麦・大豆を含む）、発酵調味料、りんご濃縮果汁、食塩、ローストしょうゆペースト／増粘剤（加工でん粉、増粘多糖類）、加工でん粉、調味料（アミノ酸）、カラメル色素、香料,小麦、大豆、鶏肉、りんご
やきとり 塩味 75g,https://www.hoteifoods.co.jp/products/c-08/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）、香味油／調味料（アミノ酸等）、香料、増粘多糖類、甘味料（キシロース）、カラメル色素、酸味料,卵、乳、小麦、大豆、鶏肉
やきとり うま辛味 75g,https://www.hoteifoods.co.jp/products/k0960/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、砂糖、醤油（大豆・小麦を含む）、醤油もろみ、香辛料、食塩／調味料（アミノ酸等）、増粘剤（加工デンプン、増粘多糖類）、加工デンプン、着色料（パプリカ色素、カラメル）,小麦、大豆、鶏肉
やきとり ガーリックペッパー味 GP4号,https://www.hoteifoods.co.jp/products/c-04/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、しょうゆ（小麦・大豆を含む）、砂糖、にんにく、ローストガーリックペースト（豚を含む）、りんご濃縮果汁、食塩、香辛料、でん粉／加工でん粉、カラメル色素、調味料（アミノ酸）、増粘多糖類,小麦、大豆、鶏肉、豚肉、りんご
やきとり 柚子こしょう味 GP4号,https://www.hoteifoods.co.jp/products/c-05/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、ゆずこしょう、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、増粘多糖類、香料、酸味料、香辛料抽出物、甘味料（キシロース）、カラメル色素,卵、乳、小麦、大豆、鶏肉
やきとり 塩レモン味 70g,https://www.hoteifoods.co.jp/products/k1053/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、砂糖、レモン濃縮果汁、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、増粘多糖類、香料、甘味料（キシロース）、酸味料、カラメル色素,卵、乳、小麦、大豆、鶏肉
やきとりたまご たれ味 155g,https://www.hoteifoods.co.jp/products/c-25/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,155g,鶏肉、鶏卵、砂糖、醤油（大豆・小麦を含む）、発酵調味料、りんご濃縮果汁、食塩／増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸）、カラメル色素,卵、小麦、大豆、鶏肉、りんご
とりたまたれ味 GF3号,https://www.hoteifoods.co.jp/products/c-12/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,90g,鶏肉（国産）、うずら卵、砂糖、醤油（大豆・小麦を含む）、発酵調味料、ロースト醤油ペースト、食塩／増粘剤（加工デンプン、増粘多糖類）、加工デンプン、調味料（アミノ酸）、カラメル色素、香料,卵、小麦、大豆、鶏肉
とりつくね たれ味 GF3号,https://www.hoteifoods.co.jp/products/k0540/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,90g,鶏肉（国産）、鶏つくね（小麦・大豆・乳成分・卵・ゼラチンを含む）、砂糖、醤油、発酵調味料、ロースト醤油ペースト、食塩／増粘剤（加工デンプン、増粘多糖類）、加工デンプン、調味料（アミノ酸）、リン酸塩（Na）、カラメル色素,卵、乳、小麦、大豆、鶏肉、ゼラチン
とりチーズ 70g,https://www.hoteifoods.co.jp/products/k1165/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、プロセスチーズ、チーズフード、砂糖、食塩、しょうゆ（小麦・大豆を含む）、香辛料／増粘剤（加工でん粉、キサンタンガム）、乳化剤、加工でん粉、調味料（アミノ酸）、カラメル色素,乳、小麦、大豆、鶏肉
からあげ 和風醤油味 45g,https://www.hoteifoods.co.jp/products/k0989/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,45g,鶏肉（国産）、澱粉（ばれいしょ（非遺伝子組換））、なたね油、にんにく、醤油（大豆・小麦を含む）、食塩、しょうが、香辛料／調味料（アミノ酸）、重曹,小麦、大豆、鶏肉
からあげ てりマヨ味 60g,https://www.hoteifoods.co.jp/products/k0990/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,60g,鶏肉（国産）、澱粉（ばれいしょ（非遺伝子組換））、砂糖、半固体状ドレッシング（大豆・りんご・卵・小麦を含む）、醸造酢、なたね油、発酵調味料、醤油、にんにく、食塩、しょうが、野菜エキス、香辛料、レモン濃縮果汁／調味料（アミノ酸等）、増粘剤（加工デンプン、増粘多糖類）、重曹、香辛料抽出物,卵、小麦、大豆、鶏肉、りんご
からあげ 黒酢あん 60g,https://www.hoteifoods.co.jp/products/k1117/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,60g,鶏肉（国産）、でん粉、米黒酢、砂糖、なたね油、しょうゆ（小麦・大豆を含む）、発酵調味料、にんにく、食塩、しょうが、香辛料／調味料（アミノ酸）、カラメル色素、重曹、香料、増粘剤（キサンタンガム）、甘味料（アセスルファムK）,小麦、大豆、鶏肉
無添加サラダチキン タイ産 70g,https://www.hoteifoods.co.jp/products/k1026/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉、でん粉、食塩,鶏肉
とり ゆず胡椒味,https://www.inaba-foods.jp/products/detail/1450,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏肉（国産）、ゆず胡椒、砂糖、食塩、醤油、レモン果汁、風味油(植物油脂、加工油脂、アラキドン酸含有油脂)、ガーリックエキス/増粘剤(加工デンプン、増粘多糖類)、リン酸塩(Ｎａ)、 調味料(アミノ酸等)、香料(一部に小麦・大豆・鶏肉を含む),小麦、大豆、鶏肉
とりささみ 低脂肪,https://www.inaba-foods.jp/products/detail/1559,いなば食品株式会社,畜肉缶詰,約3年,70g,鶏肉、野菜スープ、食塩/調味料（アミノ酸）、ph調整剤、（一部に鶏肉を含む）,鶏肉
とりささみ 食塩無添加,https://www.inaba-foods.jp/products/detail/1558,いなば食品株式会社,畜肉缶詰,約3年,70g,鶏肉（国産）、ナチュラルミネラルウォーター、野菜スープ、チキンエキス/加工デンプン、（一部に鶏肉、ゼラチンを含む）,鶏肉、ゼラチン
とりささみ（国産） 低脂肪,https://www.inaba-foods.jp/products/detail/1563,いなば食品株式会社,畜肉缶詰,約3年,70g,鶏肉（国産）、野菜スープ、食塩/調味料（アミノ酸等）、ph調整剤、（一部に鶏肉を含む）,鶏肉
とりそぼろ,https://www.inaba-foods.jp/products/detail/1526,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏肉、たまねぎ、砂糖、醤油、ごま油、チキンエキス、酵母エキス、大豆油、食塩/調味料（アミノ酸等）、増粘多糖類、（一部に小麦・大豆・鶏肉・ごまを含む）,小麦、大豆、鶏肉、ごま
とりたれ味,https://www.inaba-foods.jp/products/detail/31,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏肉（国産）、砂糖、醤油、醸造調味料、リンゴ果汁、食塩/増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸等）、リン酸塩（Na）、カラメル色素、（一部に小麦・大豆。鶏肉・りんごを含む）,小麦、大豆、鶏肉、りんご
とり塩味,https://www.inaba-foods.jp/products/detail/32,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏肉（国産）、たまねぎ、食塩、、砂糖、醤油、ごま油、レモン果汁、香味油、ガーリックエキス/増粘剤（加工デンプン、キサンタンガム）、調味料（アミノ酸等）、リン酸塩（Na）、香辛料抽出物、（一部に小麦・大豆・鶏肉・ごまを含む）,小麦、大豆、鶏肉、ごま
アマニとり ささみフレーク アマニ油入り,https://www.inaba-foods.jp/products/detail/1530,いなば食品株式会社,畜肉缶詰,約3年,70ｇ,とりささみ（国産）、野菜スープ、アマニ油、食塩、寒天/ｐＨ調整剤、参加防止剤（ビタミンＥ）、（一部に鶏肉を含む）,鶏肉
焼きとり ヤンニャム味,https://www.inaba-foods.jp/products/detail/1596,いなば食品株式会社,畜肉缶詰,約3年,65,鶏肉（国産）、砂糖、醤油、コチュジャン調味料、清酒、トマトペースト、西洋なし果汁、ガーリックペースト、食塩、唐辛子/増粘剤（加工デンプン、キサンタンガム）、調味料（アミノ酸等）、リン酸塩（Na）、（一部に小麦・大豆・鶏肉を含む）,小麦、大豆、鶏肉
焼きとり レバー たれ味,https://www.inaba-foods.jp/products/detail/1548,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏レバー、砂糖、醤油、みりん、リンゴ果汁、チキンエキス、しょうが、食塩/増粘剤(加工デンプン、増粘多糖類）、調味料（アミノ酸等）、香料，PH調整剤、(一部に小麦、大豆、鶏肉、りんごを含む）,小麦、大豆、鶏肉、りんご
焼きとり 砂肝 たれ味,https://www.inaba-foods.jp/products/detail/1549,いなば食品株式会社,畜肉缶詰,約3年,65g,鶏砂肝、砂糖、醤油、みりん、リンゴ果汁、チキンエキス、しょうが、食塩/増粘剤(加工デンプン、増粘多糖類）、調味料（アミノ酸等）、香料，PH調整剤、(一部に小麦、大豆、鶏肉、りんごを含む）,小麦、大豆、鶏肉、りんご
やきとりたれ,https://www.kyokuyo.co.jp/home/000456.html,株式会社 極洋,畜肉缶詰,約3年,65g,鶏肉(国産)、砂糖、しょうゆ、みりん、でん粉、食塩、りんご濃縮果汁/増粘剤(キサンタン)、調味料(アミノ酸等)、(一部に小麦・鶏肉・大豆・りんごを含む),小麦、大豆、鶏肉、りんご
豚の角煮,https://www.kyokuyo.co.jp/home/000438.html,株式会社 極洋,畜肉缶詰,約3年,160g,豚肉(デンマーク)、糖類(砂糖、ぶどう糖)、しょうゆ、みりん、卵白、乳清たん白、食塩、しょうが、たん白加水分解物/調味料(アミノ酸等)、糊料(キサンタン)、貝Ca、ポリリン酸Na、(一部に小麦・卵・乳成分・豚肉・大豆・ゼラチンを含む),卵、乳、小麦、大豆、豚肉、ゼラチン
やきとり 塩味,https://www.kyokuyo.co.jp/home/000439.html,株式会社 極洋,畜肉缶詰,約3年,65g,鶏肉(国産)、食塩、しょうゆ、砂糖、チキンエキス/増粘剤(キサンタン)、調味料(アミノ酸等)、(一部に小麦・鶏肉・大豆を含む),小麦、大豆、鶏肉
つくね醤油だれ,https://www.kyokuyo.co.jp/home/000829.html,株式会社 極洋,畜肉缶詰,約3年,65g,つくね(鶏肉(国産)、パン粉、粒状植物性たん白、たまねぎ、植物油脂、粉末状植物性たん白、ぶどう糖、食塩、香辛料、たん白加水分解物、揚げ油(大豆油))、しょうゆ、砂糖、食塩/加工でん粉、調味料(アミノ酸等)、ポリリン酸Na、酸味料(一部に小麦・乳成分・鶏肉・大豆・豚肉を含む),乳、小麦、大豆、鶏肉、豚肉
つくね塩だれ,https://www.kyokuyo.co.jp/home/000831.html,株式会社 極洋,畜肉缶詰,約3年,65g,つくね(鶏肉(国産)、パン粉、粒状植物性たん白、たまねぎ、植物油脂、粉末状植物性たん白、ぶどう糖、食塩、香辛料、たん白加水分解物、揚げ油(大豆油))、食塩、砂糖、にんにく、ビーフエキス調味料、こしょう/加工でん粉、調味料(アミノ酸等)、ポリリン酸Na、増粘剤(キサンタンガム)、酸味料、香辛料抽出物、(一部に小麦・乳成分・鶏肉・大豆・豚肉・牛肉・ゼラチンを含む),乳、小麦、大豆、鶏肉、豚肉、牛肉、ゼラチン
肉大和煮(馬肉味付) EOK,https://www.kyokuyo.co.jp/home/000476.html,株式会社 極洋,畜肉缶詰,約3年,145g,馬肉、砂糖、しょうゆ、こんぶエキス、寒天、しょうが,小麦、大豆
コンビーフ,https://www.cornedbeef.jp/seihin/cornedbeef/cb-80g/,川商フーズ 株式会社,畜肉缶詰,約3年6ヶ月,80g,牛肉（オーストラリア又はニュージーランド又はその他）、ゼラチン、ビーフエキス、食塩、寒天、砂糖、たん白加水分解物（小麦、大豆を含む）、香辛料、／カゼインＮａ（乳由来）、調味料（アミノ酸等）、酸化防止剤（ビタミンＣ）、発色剤（亜硝酸Ｎａ）,乳、牛肉、大豆、ゼラチン
山形県産牛コンビーフ,https://www.cornedbeef.jp/seihin/cornedbeef/yamagata-cb/,川商フーズ 株式会社,畜肉缶詰,約3年6ヶ月,80g,牛肉（山形県産）、牛脂（山形県産）、ゼラチン、食塩、寒天、砂糖／調味料（アミノ酸等）、カゼインＮａ（乳由来）、酸化防止剤（ビタミンC）、発色剤（亜硝酸Ｎａ）,乳、小麦、牛肉、大豆、ゼラチン
和風コンビーフ（しぐれ煮風）,https://www.cornedbeef.jp/seihin/cornedbeef/wahu-cb/,川商フーズ 株式会社,畜肉缶詰,約3年6ヶ月,80g,牛肉（オーストラリア又はニュージーランド又はその他）、ゼラチン、ビーフエキス、食塩、寒天、砂糖、たん白加水分解物（小麦、大豆を含む）、香辛料、／カゼインＮａ（乳由来）、調味料（アミノ酸等）、酸化防止剤（ビタミンＣ）、発色剤（亜硝酸Ｎａ）,乳、小麦、牛肉、大豆、ゼラチン
山形県産牛コンビーフ,https://www.cornedbeef.jp/seihin/cornedbeef/yamagata-cb/,川商フーズ 株式会社,畜肉缶詰,約3年,135g,鶏肉（国産）、砂糖、しょうゆ、発酵調味料、りんご果汁、食塩、香辛料 ／ 増粘剤（加工デンプン、サイリウムシードガム）、調味料（アミノ酸）、香料、（一部に小麦・大豆・鶏肉・りんごを含む）,乳、牛肉、ゼラチン
熟成コンビーフ,https://www.cornedbeef.jp/seihin/cornedbeef/jyukusei-cb/,川商フーズ 株式会社,畜肉缶詰,約3年,80g,牛肉（オーストラリア又はニュージーランド）、牛脂、ゼラチン、食塩、砂糖、寒天、香辛料／調味料（アミノ酸等）、カゼインNa（乳由来）、酸化防止剤（ビタミンC）、発色剤（亜硝酸Ｎａ）,乳、牛肉、ゼラチン
ほぐしコンビーフ（ハーブ＆ペッパー),https://www.cornedbeef.jp/seihin/cornedbeef/hogusi-cb/,川商フーズ 株式会社,畜肉缶詰,約3年,80g,牛肉（オーストラリア又はニュージーランド）、牛脂、食塩、ゼラチン、香辛料、砂糖、寒天／カゼインＮａ（乳由来）、調味料（アミノ酸等）、酸化防止剤（ビタミンＣ）、発色剤（亜硝酸Ｎａ）,乳、牛肉、ゼラチン
コンビーフ（プラ）,https://www.cornedbeef.jp/seihin/cornedbeef/pla-cb/,川商フーズ 株式会社,畜肉缶詰,約3年,80g,牛肉、牛脂、食塩、砂糖／増粘多糖類、調味料（アミノ酸等）、カゼインＮa（乳由来）、酸化防止剤（ビタミンＣ）、発色剤（亜硝酸Ｎa),乳、牛肉
無塩せきコンビーフ（プラ）,https://www.cornedbeef.jp/seihin/cornedbeef/muen-pla-cb/,川商フーズ 株式会社,畜肉缶詰,約3年,80g,牛肉、牛脂、食塩、砂糖／増粘多糖類、調味料（アミノ酸等）、カゼインＮa（乳由来）,乳、牛肉
コンビーフ（輸入品）,https://www.cornedbeef.jp/seihin/cornedbeef/import-cb/,川商フーズ 株式会社,畜肉缶詰,約5年,340g,牛肉、食塩、砂糖／発色剤（亜硝酸Ｎａ）,牛肉
めいっぱい焼鳥 たれ味,https://www.kokubu.co.jp/brand/100/0417188.html,国分グループ本社株式会社,畜肉缶詰,約3年,135g,鶏肉（国産）、砂糖、しょうゆ、発酵調味料、りんご果汁、食塩、香辛料 ／ 増粘剤（加工デンプン、サイリウムシードガム）、調味料（アミノ酸）、香料、（一部に小麦・大豆・鶏肉・りんごを含む）,小麦、大豆、鶏肉、りんご
めいっぱい焼鳥 塩味,https://www.kokubu.co.jp/brand/100/0417189.html,国分グループ本社株式会社,畜肉缶詰,約3年,135g,鶏肉（国産）、砂糖、発酵調味料、食塩、香辛料 ／ 増粘剤（加工デンプン、サイリウムシードガム）、調味料（アミノ酸）、香料、（一部に大豆・鶏肉を含む）,大豆、鶏肉
群馬県産 赤城山麓豚角煮,https://www.kokubu.co.jp/brand/100/0417420.html,国分グループ本社株式会社,畜肉缶詰,約3年,150g,豚肉（群馬県）、しょうゆ、砂糖、みりん、おろししょうが、酵母エキス、こんぶエキス、おろしにんにく、香辛料 ／ 増粘剤（加工デンプン）、（一部に小麦・大豆・豚肉を含む）,小麦、大豆、豚肉
国産 牛すね肉の神戸赤ワイン煮,https://www.kokubu.co.jp/brand/100/0417421.html,国分グループ本社株式会社,畜肉缶詰,約3年,160g,牛肉（国産）、にんじん、赤ワイン、砂糖、牛脂、ビーフエキス調味料、ぶどう酢、大豆油、 デミグラスソース、肉エキス、バター、食塩、ローストオニオンペースト、にんにく ／ 増粘剤（加工デンプン）、カラメル色素、調味料（アミノ酸等）、香辛料抽出物、香料、 （一部に小麦・乳成分・牛肉・大豆・豚肉・りんご・ゼラチンを含む）,None
鹿児島県産 赤鶏さつま炭火焼,https://www.kokubu.co.jp/brand/100/0417422.html,国分グループ本社株式会社,畜肉缶詰,約3年,45g,やきとり（鶏肉（鹿児島県）、食塩、唐辛子）,鶏肉
牛マルチョウ 直火焼,https://www.kokubu.co.jp/brand/100/0417423.html,国分グループ本社株式会社,畜肉缶詰,約3年,50g,牛小腸焼き（牛小腸、たれ（異性化液糖、しょうゆ、砂糖、食塩）、コチュジャン、その他）（国内製造） ／ 増粘剤（加工デンプン、キサンタンガム）、カラメル色素、酸味料、リン酸塩（Na、K）、（一部に小麦・牛肉・大豆を含む）,小麦、牛肉、大豆
牛テッポウ 直火焼,https://www.kokubu.co.jp/brand/100/0417424.html,国分グループ本社株式会社,畜肉缶詰,約3年,45g,牛直腸焼き（牛直腸、塩たれ（食塩、香辛料、その他）、その他）（国内製造） ／ 増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸等）、グリシン、酢酸Na、香辛料抽出物、（一部に小麦・牛肉・ごまを含む）,小麦、牛肉、ごま
鶏セセリ 直火焼,https://www.kokubu.co.jp/brand/100/0417425.html,国分グループ本社株式会社,畜肉缶詰,約3年,50g,鶏セセリ焼き（鶏セセリ、たれ（しょうゆ、砂糖、その他）、その他）（国内製造） ／ ソルビトール、カラメル色素、増粘剤（加工デンプン、増粘多糖類）、グリシン、ｐH調整剤、調味料（有機酸等）、（一部に小麦・乳成分・さば・大豆・鶏肉を含む）,小麦、乳、さば、大豆、鶏肉
牛すじこんにゃく,https://www.kokubu.co.jp/brand/100/0417426.html,国分グループ本社株式会社,畜肉缶詰,約3年,140g,牛すじ、こんにゃく、しょうゆ、砂糖、発酵調味料、食塩、たまねぎエキス  ／ 増粘剤（加工デンプン、キサンタンガム）、調味料（アミノ酸）、香辛料抽出物、（一部に小麦・牛肉・大豆を含む）,小麦、牛肉、大豆
四川風よだれ鶏,https://www.kokubu.co.jp/brand/100/0417427.html,国分グループ本社株式会社,畜肉缶詰,約3年,75g,鶏肉加工品（鶏肉、甜醤油、その他）（国内製造）、しょうゆ、砂糖、米黒酢、ラー油、チキンブイヨン調味料、豆板醤、唐辛子、おろしにんにく ／ リン酸塩（Na）、増粘剤（グァーガム）、グリシン、ｐH調整剤、調味料（アミノ酸等）、香辛料抽出物、（一部に小麦・乳成分・ごま・大豆・鶏肉を含む）,小麦、乳、ごま、大豆、鶏肉
コンビーフ ユッケ風,https://www.kokubu.co.jp/brand/100/0417451.html,国分グループ本社株式会社,畜肉缶詰,約3年,80g,牛肉（オーストラリア）、ごま油、トウバンジャン、食塩、にんにくペースト、しょうゆ、牛脂、ゼラチン、寒天、香辛料／カゼインＮａ、調味料（アミノ酸等）、発色剤（亜硝酸Ｎａ）、酸化防止剤（Ｖ.Ｃ）、（一部に小麦・乳成分・牛肉・ごま・ゼラチン・大豆を含む）,小麦、乳、牛肉、ごま、ゼラチン、大豆
北海道・噴火湾産ほたて燻製油漬け,https://www.kokubu.co.jp/brand/100/0317856.html,国分グループ本社株式会社,畜肉缶詰,約3年,55g,ほたて（北海道）、大豆油、食塩 ／ 調味料（アミノ酸）,大豆
国産 豚軟骨 直火焼,https://www.kokubu.co.jp/brand/100/0417404.html,国分グループ本社株式会社,畜肉缶詰,約3年,40g,豚軟骨焼（豚肉（軟骨付）（国産）、しょうゆ、砂糖、香辛料、その他） ／ ソルビトール、調味料（アミノ酸等）、増粘多糖類、（一部に小麦・さば・大豆・豚肉を含む）,小麦、さば、大豆、豚肉
国産 和豚もちぶた ハツ塩味,https://www.kokubu.co.jp/brand/100/0417406.html,国分グループ本社株式会社,畜肉缶詰,約3年,45g,豚ハツ（国産）、ポークエキス、食塩、酵母エキス、香辛料 ／ 増粘剤（加工デンプン）,豚肉
牛肉のバルサミコソース,https://www.kokubu.co.jp/brand/100/0417407.html,国分グループ本社株式会社,畜肉缶詰,約3年,70g,牛肉（オーストラリア）、砂糖、バルサミコ酢、食塩／調味料（アミノ酸）、増粘剤（グァーガム）,牛肉
北海道産 鶏ぼんじり 直火焼,https://www.kokubu.co.jp/brand/100/0417408.html,国分グループ本社株式会社,畜肉缶詰,約3年,40g,鶏ぼんじり焼き（鶏肉（北海道）、しょうゆ、その他） ／ グリシン、カラメル色素、酢酸Na、香辛料抽出物、（一部に小麦・大豆・鶏肉を含む）,小麦、大豆、鶏肉
国産 熟成黒毛和牛ロースト,https://www.kokubu.co.jp/brand/100/0417409.html,国分グループ本社株式会社,畜肉缶詰,約3年,60g,牛肉（国産）、食塩、香辛料,牛肉
牛肉の赤ワイン煮,https://www.kokubu.co.jp/brand/100/0417410.html,国分グループ本社株式会社,畜肉缶詰,約3年,100g,牛肉、にんじん、大豆油、赤ワイン、ソテードオニオン、砂糖、ぶどう酢、肉エキス（ビーフ、ポーク）、にんにく、しょうゆ、食塩、香辛料、増粘剤（加工でん粉）、カラメル色素、調味料（アミノ酸）、（原材料の一部に小麦を含む）,None
ラム肉 ジンギスカン風,https://www.kokubu.co.jp/brand/100/0417411.html,国分グループ本社株式会社,畜肉缶詰,約3年,90g,羊肉、しょうゆ、てん菜糖蜜、砂糖、醸造酢、食塩、たん白加水分解物、たまねぎ、果糖ぶどう糖液糖、発酵調味料、香辛料、にんにく、はちみつ、しょうがエキス、みりん、オニオンエキス、酵母エキス、しょうが ／ 増粘剤（加工デンプン）、調味料（アミノ酸等）、酸味料、カラメル色素、香辛料抽出物、（一部に小麦・大豆を含む）,小麦、大豆
マテ茶鶏のオリーブオイル漬け,https://www.kokubu.co.jp/brand/100/0417412.html,国分グループ本社株式会社,畜肉缶詰,約3年,150g,鶏肉（ブラジル）、オリーブ油、白ワイン、食塩、おろしにんにく、濃縮レモン果汁、香辛料 ／ 増粘剤（加工デンプン）、調味料（アミノ酸）,鶏肉
牛タン焼き ねぎ塩だれ,https://www.kokubu.co.jp/brand/100/0417413.html,国分グループ本社株式会社,畜肉缶詰,約3年,60g,牛たん焼き（牛たん、なたね油、食塩、その他）（国内製造）、ねぎ、レモン果汁、還元水あめ、食塩、おろしにんにく、香辛料 ／ 調味料（アミノ酸等）、増粘剤（加工デンプン、増粘多糖類）、乳化剤、酸化防止剤（ビタミンC、ビタミンE）、香料、カロチノイド色素,牛肉
鶏ハラミ 直火焼,https://www.kokubu.co.jp/brand/100/0417415.html,国分グループ本社株式会社,畜肉缶詰,約3年,50g,鶏ハラミ焼き（鶏ハラミ、塩たれ（食塩、香辛料、その他）、その他）（国内製造） ／ 調味料（アミノ酸等）、リン酸Na、増粘剤（加工デンプン、増粘多糖類）、グリシン、ｐH調整剤、酢酸Ｎａ、乳酸Ca、乳化剤、酸化防止剤（V.C、V.E）、香料、カロチノイド色素、（一部に乳成分・ごま・鶏肉を含む）,乳、ごま、鶏肉
