食品名,製品URL,製造メーカ名,製品の名称,製品の保存期間,製品の内容量,製品の原材料,製品に含まれるアレルゲン
洋風えび雑炊【小缶（2号缶）】,https://www.sei-inc.co.jp/lineup/s-EbiZosui,株式会社セイエンタプライズ,非常食,約25年,100g,うるち米（国産）、えび、人参、グリンピース、マッシュルーム、炒め玉ねぎ（大豆を含む）、植物油脂、チキンエキス（小麦を含む）、えびエキス、食塩、香味油（乳成分を含む）、でん粉、砂糖、動物性たん白加水分解物（ゼラチンを含む）、胡椒／調味料（アミノ酸等）、酸化防止剤（ビタミンＥ）、糊料（加工でん粉）,None
５年保存防災食　ポケットワン　おみそ汁,https://www.shinsyuichi.jp/product/detail/JT33,神州一味噌株式会社,スープ,約5年,None,粉末米みそ、粉末豆みそ、ふ、かつお節パウダー、わかめ／調味料（アミノ酸等）、酸化防止剤（ビタミンE）、クエン酸、（一部に小麦・大豆を含む）,小麦、大豆
５年保存防災食　ポケットワン　コーンスープ,https://www.shinsyuichi.jp/product/detail/JT37,神州一味噌株式会社,スープ,約5年,None,糖類（ぶどう糖、砂糖）、食塩、コーンパウダー、酵母エキスパウダー、ホワイトペッパーパウダー、うきみ（コーン）／調味料（アミノ酸等）、微粒二酸化ケイ素、香料,None
５年保存防災食　ポケットワン　わかめスープ,https://www.shinsyuichi.jp/product/detail/JT38,神州一味噌株式会社,スープ,約5年,None,デキストリン、食塩、ぶどう糖、野菜エキスパウダー、香辛料、具（わかめ）／調味料（アミノ酸）、カラメル色素、微粒二酸化ケイ素、香料,None
レスキューフーズ つくねと野菜のスープ,http://www.foricafoods.co.jp/rescue/543,ホリカフーズ株式会社,スープ,約3年6ヶ月,175g,野菜(たけのこ､にんじん､しいたけ)､つくね(鶏肉、たまねぎ、その他)、でん粉、チキンエキス、食塩、しょうゆ、かつお節エキス、こんぶエキス／ｐＨ調整剤、(一部に小麦・卵・大豆・鶏肉を含む),小麦、卵、大豆、鶏肉
レスキューフーズ ウィンナーと野菜のスープ煮,http://www.foricafoods.co.jp/rescue/544,ホリカフーズ株式会社,スープ,約3年6ヶ月,160g,ウインナーソーセージ[食肉(豚肉､牛肉)､豚脂肪､結着材料(でん粉、大豆たん白)､食塩､砂糖､香辛料]、野菜(にんじん、グリーンピース、とうもろこし)／調味料(アミノ酸等)､ピロリン酸Na、酸化防止剤(ビタミンC)、発色剤(亜硝酸Na),牛肉、大豆、豚肉
レスキューフーズ みそ汁,http://www.foricafoods.co.jp/rescue/545,ホリカフーズ株式会社,スープ,約3年6ヶ月,160g,だいこん、みそ、食物繊維(難消化性デキストリン)、かつお節エキス、あられ麩／調味料(アミノ酸等)、V.C、(一部に小麦・大豆を含む),小麦、大豆
レスキューフーズ ビーフカレー,http://www.foricafoods.co.jp/rescue/133,ホリカフーズ株式会社,レトルト,約5年6ヶ月,180g,野菜(たまねぎ､にんじん)､カレールー､牛肉､食物繊維(難消化性デキストリン)､エキス調味料､コーン油､たん白加水分解物､にんにく／カラメル色素､調味料(アミノ酸等)､(一部に小麦・乳成分・牛肉・大豆・バナナ・豚肉・りんごを含む),小麦、乳、牛肉、大豆、バナナ、豚肉、りんご
レスキューフーズ 牛丼の素,http://www.foricafoods.co.jp/rescue/532,ホリカフーズ株式会社,レトルト,約3年6ヶ月,180g,牛肉、たまねぎ、しらたき、しょうゆ、砂糖、食物繊維(難消化性デキストリン)、食塩、発酵調味料／調味料(アミノ酸)、カラメル色素、(一部に小麦・牛肉・大豆を含む),小麦、牛肉、大豆
レスキューフーズ ビーフシチュー,http://www.foricafoods.co.jp/rescue/533,ホリカフーズ株式会社,レトルト,約3年6ヶ月,180g,野菜(じゃがいも、にんじん、たまねぎ)、牛肉、小麦粉、トマトピューレ、ワイン、食物繊維(難消化性デキストリン)、コーン油、砂糖、トマトペースト、食塩、ウスターソース、香辛料／カラメル色素、調味料(アミノ酸等)、(一部に小麦・牛肉を含む),小麦、牛肉
レスキューフーズ 中華丼の素,http://www.foricafoods.co.jp/rescue/534,ホリカフーズ株式会社,レトルト,約3年6ヶ月,180g,野菜(はくさい、たけのこ、にんじん、しいたけ)、豚肉、しょうゆ、オニオンソテー、砂糖、大豆油、エキス調味料、たん白加水分解物、ごま油、酵母エキス、香辛料、にんにく／加工デンプン、調味料(アミノ酸)、(一部にかに・小麦・ごま・大豆・鶏肉・豚肉を含む),小麦、かに、ごま、大豆、鶏肉、豚肉
レスキューフーズ 和風ハンバーグ,http://www.foricafoods.co.jp/rescue/535,ホリカフーズ株式会社,レトルト,約3年6ヶ月,180g,ハンバーグ(鶏肉、たまねぎ、パン粉、粒状植物性たん白、その他)、野菜(にんじん、グリンピース、とうもろこし)、しょうゆ、発酵調味料、清酒、オニオンソテー、砂糖、たん白加水分解物、豚脂、香辛料、にんにく／加工デンプン、調味料(アミノ酸等)、酢酸Na、グリシン、リン酸塩(Na)、着色料(紅麹、ラック)、(一部に小麦・卵・乳成分・牛肉・大豆・鶏肉・豚肉を含む),小麦、卵、乳、牛肉、大豆、鶏肉、豚肉
レスキューフーズ けんちん汁,http://www.foricafoods.co.jp/rescue/597,ホリカフーズ株式会社,スープ,約3年,3000g,野菜(だいこん、にんじん、じゃがいも、しいたけ、ごぼう、わらび)、こんにゃく、車麩、しょうゆ、鶏肉、植物油脂、油揚げ、砂糖・ぶどう糖果糖液糖、かつお節エキス、肉エキス、食塩／調味料(アミノ酸等)、(一部に小麦・大豆・鶏肉・豚肉を含む),小麦、大豆、鶏肉、豚肉
ミネストローネ,https://net-shop.betterhome.jp/ec/products/detail.php?product_id=46738,ベターホーム協会,スープ,約3年,190g,野菜(キャベツ(国産)、じゃが芋、玉ねぎ、セロリ、人参)、トマト・ピューレづけ、ガルバンゾー、トマトペースト、チキンブイヨン、野菜エキス、大豆、バター、マカロニ(小麦を含む)、食塩、おろしにんにく、椎茸エキス、香辛料,None
オニオンスープ,https://net-shop.betterhome.jp/ec/products/detail.php?product_id=46736,ベターホーム協会,スープ,約3年,190g,玉ねぎ(中国産)、チキンブイヨン、食塩、椎茸エキス、酵母エキス、香辛料,None
パンプキン,https://net-shop.betterhome.jp/ec/products/detail.php?product_id=46735,ベターホーム協会,スープ,約3年,190g,かぼちゃペースト(国内製造)、牛乳、チキンブイヨン、玉ねぎ、砂糖、クリーム、バター、野菜エキス、小麦粉、でん粉、食塩、香辛料,None
コーンポタージュ,https://net-shop.betterhome.jp/ec/products/detail.php?product_id=46734,ベターホーム協会,スープ,約3年,190g,スイートコーン(アメリカ産)、牛乳、玉ねぎ、クリーム、チキンブイヨン、バター、砂糖、野菜エキス、小麦粉、食塩、でん粉、にんにく、香辛料,None
