品名,URL,メーカー,名称,保存期間,内容量,出来上がり量,原材料,アレルゲン
安心米おこげ（カレー味）,https://www.alpha-online.jp/SHOP/7-012.html,アルファー食品株式会社,アルファ米,5年,51.2g,None,おこげ:もち米（国産）、植物油、食塩／酸化防止剤（ビタミンE）カレー調味粉末：食塩、カレー粉、オニオンエキスパウダー、コーンスターチ、砂糖、ターメリックパウダー、クミンパウダー、ココアパウダー、混合香辛料、酵母エキス、ブラックペッパー、とうがらし／調味料（アミノ酸等）、香料、微粒二酸化ケイ素,なし
安心米おこげ（梅味）,https://www.alpha-online.jp/SHOP/7-013.html,アルファー食品株式会社,アルファ米,5年,52g,None,おこげ:もち米（国産）、植物油、食塩／酸化防止剤（ビタミンE）梅調味粉末：梅干しペースト、調味しそ、デキストリン、食塩／酸味料,なし
安心米おこげ（ぜんざい）,https://www.alpha-online.jp/SHOP/7-014.html,アルファー食品株式会社,アルファ米,5年,51.2g,None,ぜんざい:砂糖（国内製造）、小豆、食塩 おこげ：もち米（国産）、植物油、食塩／酸化防止剤（ビタミンE）,なし
もっちりつや炊き 白米,https://lapita.co.jp/product/product30,株式会社LA・PITA　（ラピタ）,アルファ米,7年,110g,350g,うるち米(国産),なし
レスキューライス （白米）,https://yamakiya.ne.jp/product/119/,株式会社山貴屋,アルファ米,7年,100g,280g,うるち米（岡山県産）、もち米,なし
レスキューライス （わかめ御飯）,https://yamakiya.ne.jp/product/140/,株式会社山貴屋,アルファ米,7年,100g,280g,うるち米（国産/岡山県産）、具（鶏肉、鶏卵、コーン、人参・タマネギ）、食塩、チキンエキスパウダー、野菜エキスパウダー、バター風味パウダー、酵母エキスパウダー、パセリ、香味油、粉末醤油、魚介エキスパウダー、ローレル、植物性油脂、調味料（アミノ酸等）、香料、酸化防止剤（ビタミンE）、酸味料他,なし
レスキューライス （五目ごはん）,https://yamakiya.ne.jp/product/138/,株式会社山貴屋,アルファ米,7年,100g,280g,うるち米（岡山産）、もち米（国産）、具（ごぼう・人参・椎茸・こんにゃく・鶏肉）、食塩、粉末しょうゆ、砂糖／グルタミン酸ナトリウム、加工でん粉、水飴、酸化防止剤(V.E),卵、乳成分、小麦、大豆、鶏肉
レスキューライス （ドライカレー）,https://yamakiya.ne.jp/product/121/,株式会社山貴屋,アルファ米,7年,100g,280g,うるち米（国産/岡山県産）、具（味付鶏肉、鶏卵、コーン、人参）、食塩、カレー粉、砂糖、ビーフパウダー、ローストオニオンパウダー、パセリ、でん粉分解物、粉末油脂、植物性油脂、粉末醤油／調味料（アミノ酸等）、香料、香辛料抽出物、酸味料、酸化防止剤（ビタミンE）,卵、乳成分、小麦、大豆、牛肉、鶏肉、リンゴ
レスキューライス （梅がゆ）,https://yamakiya.ne.jp/product/117/,株式会社山貴屋,アルファ米,7年,40g,250g,うるち米（岡山県産）、もち米、食塩、梅肉チップ、乾燥しそ,なし
レスキューライス （おかゆ）,https://yamakiya.ne.jp/product/61/,株式会社山貴屋,アルファ米,7年,40g,250g,うるち米（岡山県産）、もち米、食塩,なし
